class,correct/incorrect,name
""
runway
runway,incorrect
runway,incorrect,stop_sign-runway-0959
runway,incorrect,backpack-runway-0991
runway,incorrect,kite-runway-0991
runway,incorrect,kite-runway-0908
runway,incorrect,stop_sign-runway-0965
runway,incorrect,kite-runway-0915
runway,incorrect,dog-runway-0939
runway,incorrect,dog-runway-0981
runway,correct
runway,correct,pizza-runway-0951
runway,correct,bird-runway-0923
runway,correct,kite-runway-0969
runway,correct,elephant-runway-0904
runway,correct,zebra-runway-0936
runway,correct,stop_sign-runway-0937
runway,correct,dog-runway-0990
runway,correct,pizza-runway-0999
runway,correct,backpack-runway-0998
runway,correct,kite-runway-0956
runway,correct,dog-runway-0907
runway,correct,dog-runway-0970
runway,correct,backpack-runway-0923
runway,correct,elephant-runway-0938
runway,correct,bird-runway-0927
runway,correct,truck-runway-0910
runway,correct,kite-runway-0920
runway,correct,stop_sign-runway-0974
runway,correct,dog-runway-0905
runway,correct,backpack-runway-0913
runway,correct,pizza-runway-0995
runway,correct,truck-runway-0997
runway,correct,truck-runway-0979
runway,correct,pizza-runway-0950
runway,correct,toilet-runway-0919
runway,correct,stop_sign-runway-0958
runway,correct,zebra-runway-0978
runway,correct,dog-runway-0966
runway,correct,stop_sign-runway-0984
runway,correct,elephant-runway-0998
runway,correct,bird-runway-0942
corn_field
corn_field,incorrect
corn_field,incorrect,stop_sign-corn_field-0958
corn_field,incorrect,zebra-corn_field-0938
corn_field,incorrect,backpack-corn_field-0957
corn_field,incorrect,pizza-corn_field-0942
corn_field,incorrect,zebra-corn_field-0946
corn_field,incorrect,kite-corn_field-0949
corn_field,incorrect,toilet-corn_field-0938
corn_field,incorrect,toilet-corn_field-0900
corn_field,incorrect,bird-corn_field-0968
corn_field,incorrect,elephant-corn_field-0973
corn_field,incorrect,backpack-corn_field-0946
corn_field,correct
corn_field,correct,zebra-corn_field-0935
corn_field,correct,dog-corn_field-0976
corn_field,correct,elephant-corn_field-0936
corn_field,correct,pizza-corn_field-0948
corn_field,correct,toilet-corn_field-0914
corn_field,correct,toilet-corn_field-0969
corn_field,correct,stop_sign-corn_field-0919
corn_field,correct,elephant-corn_field-0990
corn_field,correct,backpack-corn_field-0987
corn_field,correct,truck-corn_field-0972
corn_field,correct,pizza-corn_field-0917
corn_field,correct,truck-corn_field-0961
corn_field,correct,dog-corn_field-0953
corn_field,correct,bird-corn_field-0928
corn_field,correct,bird-corn_field-0922
corn_field,correct,toilet-corn_field-0931
corn_field,correct,toilet-corn_field-0976
corn_field,correct,truck-corn_field-0999
corn_field,correct,toilet-corn_field-0933
corn_field,correct,kite-corn_field-0950
corn_field,correct,truck-corn_field-0926
corn_field,correct,stop_sign-corn_field-0986
corn_field,correct,truck-corn_field-0914
corn_field,correct,kite-corn_field-0965
corn_field,correct,elephant-corn_field-0940
corn_field,correct,truck-corn_field-0970
corn_field,correct,truck-corn_field-0974
corn_field,correct,kite-corn_field-0985
corn_field,correct,truck-corn_field-0922
corn_field,correct,kite-corn_field-0954
corn_field,correct,pizza-corn_field-0953
corn_field,correct,kite-corn_field-0911
corn_field,correct,elephant-corn_field-0943
ski_slope
ski_slope,correct
ski_slope,correct,zebra-ski_slope-0995
ski_slope,correct,kite-ski_slope-0929
ski_slope,correct,truck-ski_slope-0954
ski_slope,correct,backpack-ski_slope-0941
ski_slope,correct,bird-ski_slope-0928
ski_slope,correct,kite-ski_slope-0924
ski_slope,correct,stop_sign-ski_slope-0908
